STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Eotvos utca,VI,83,3,906.0,5.0,3.0,,0.0,1.0,,2.0,1,4.0,181.0,0,,street,0.0,,,1.0,0.0,not allowed,,
 Jokai ter,VI,95,2,635.0,5.0,3.0,,5.0,1.0,5.0,2.0,0,4.0,0.0,0,,panoramic,6.0,0.0,0.0,1.0,,,,
 Rejto Jeno utca,VII,60,2,498.0,5.0,3.0,,1.0,1.0,8.0,1.0,0,4.0,0.0,0,,garden,8.0,,,1.0,,,,
 Andrassy ut,VI,85,2,997.0,5.0,3.0,,2.0,1.0,,2.0,1,4.0,103.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,,
 Ujlak,II,60,2,574.0,5.0,3.0,,2.0,0.0,3.0,,1,4.0,76.0,0,east,panoramic,8.0,,,1.0,0.0,not allowed,1,
 Lejto ut,XII,100,3,1193.0,5.0,4.0,,2.0,0.0,3.0,,1,4.0,76.0,0,,panoramic,6.0,,,1.0,0.0,,0,
 Frankel Leo ut,II,115,3,1510.0,5.0,5.0,,0.5,1.0,4.0,2.0,1,4.0,45.0,1,south-west,street,0.0,0.0,,1.0,0.0,not allowed,1,
 Fejer Gyorgy utca,V,95,3,1087.0,5.0,5.0,17,2.0,1.0,5.0,2.0,1,4.0,0.0,0,west,street,1.0,,0.0,1.0,,,0,
 Sas utca,V,112,3,1178.0,5.0,4.0,,4.0,1.0,6.0,2.0,1,1.0,0.0,0,north-west,panoramic,3.0,,0.0,1.0,,,0,
 Kaldy Gyula utca,VI,31,1,423.0,5.0,3.0,,0.0,1.0,4.0,1.0,0,4.0,0.0,0,south-east,garden,5.0,1.0,0.0,1.0,0.0,not allowed,0,
 O utca 5.,VI,73,2,1586.0,5.0,5.0,,3.0,1.0,5.0,2.0,1,4.0,0.0,1,,street,0.0,0.0,0.0,1.0,,not allowed,,
 Narcisz utca,XII,50,2,816.0,5.0,3.0,,2.0,0.0,3.0,1.0,1,4.0,0.0,0,south,panoramic,14.0,,0.0,1.0,0.0,,0,
 Becsi utca,V,99,3,1420.0,5.0,5.0,16,4.0,1.0,5.0,2.0,1,4.0,0.0,0,south,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
