STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Vaci ut 106.,XIII,20,1,302.0,5.0,3.0,,1.0,0.0,4.0,,0,4.0,60.0,0,,court,3.0,,,1.0,0.0,,0,
 Victor Hugo utca,XIII,65,2,876.0,6.0,3.0,18,4.0,1.0,6.0,1.0,1,3.0,121.0,1,south-west,street,5.0,0.0,0.0,1.0,0.0,not allowed,1,
 Lazar utca,VI,56,1,450.0,5.0,3.0,,1.0,0.0,4.0,1.0,1,4.0,45.0,0,,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Ferenc korut,IX,79,3,755.0,5.0,3.0,,2.0,0.0,4.0,2.0,0,4.0,0.0,0,west,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Veres Palne utca,V,110,3,785.0,5.0,,,2.0,1.0,,,1,4.0,0.0,0,,court,0.0,,,1.0,0.0,,,
 Pava utca,IX,46,1,423.0,3.0,3.0,,3.0,0.0,,1.0,0,4.0,94.0,0,east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Igloi utca,XI,64,2,483.0,5.0,,,2.0,0.0,3.0,,0,1.0,76.0,0,,court,4.0,,0.0,0.0,,,1,
 Pozsonyi ut,XIII,24,1,317.0,5.0,,,2.0,,,,0,4.0,60.0,0,,court,0.0,,,1.0,1.0,not allowed,,
 Bobita utca,III,23,1,332.0,5.0,,,,1.0,,,1,4.0,48.0,0,south-west,garden,0.0,,1.0,1.0,1.0,not allowed,,
 Lonyay utca,IX,25,1,362.0,5.0,3.0,,2.0,0.0,3.0,1.0,0,4.0,0.0,0,south-west,court,0.0,0.0,0.0,1.0,0.0,,0,
 Keve utca,III,45,1,450.0,4.0,,18,1.0,,2.0,,0,3.0,3.0,0,,garden,8.0,,0.0,,,,,
 Asboth utca 15.,VII,28,1,332.0,3.0,3.0,10,3.0,1.0,4.0,1.0,0,3.0,76.0,0,,street,0.0,0.0,0.0,1.0,0.0,allowed,0,
 Nador utca 20.,V,73,3,755.0,4.0,,,,,,,0,,91.0,0,,,0.0,,,,,,,
 Nador utca 20.,V,60,2,513.0,,,,,,,,0,,91.0,0,,,0.0,,,,,,,
 Suto utca 2.,V,72,2,513.0,5.0,,,1.0,1.0,4.0,2.0,0,4.0,91.0,1,,court,0.0,,,,0.0,not allowed,,
 Tibavar utca,XI,22,1,302.0,5.0,,,,0.0,,,0,4.0,51.0,1,south,street,0.0,,1.0,,1.0,not allowed,,
 Ifjumunkas utca,IX,54,2,453.0,5.0,3.0,,5.0,0.0,5.0,1.0,1,,100.0,0,,panoramic,0.0,0.0,,1.0,1.0,not allowed,0,
 Duna utca 55.,XXI,35,1,302.0,,,,,,,,0,,45.0,0,,,0.0,,,,,,,
 Vasvari Pal utca,VI,25,1,302.0,,,,,,,,0,,121.0,0,,,0.0,,,,,,,
 Albert utca 19.,XI,59,3,483.0,,,,,,,,0,,91.0,0,,,0.0,,,,,,,
 Vadasz utca,V,35,1,513.0,5.0,3.0,,1.0,1.0,6.0,1.0,1,4.0,91.0,1,east,court,10.0,,0.0,1.0,,not allowed,0,
 Fiastyuk utca,XIII,50,1,227.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Jozsef korut,VIII,85,2,136.0,5.0,5.0,,3.0,0.0,3.0,2.0,1,4.0,45.0,0,,street,3.0,0.0,0.0,1.0,0.0,not allowed,,
 Deak Ferenc ter,V,35,1,408.0,5.0,3.0,,0.0,,3.0,2.0,0,4.0,76.0,0,,court,0.0,,,1.0,,,,
 Karolina ut,XI,54,2,589.0,5.0,3.0,,3.0,0.0,3.0,,1,1.0,54.0,0,west,garden,2.0,0.0,,1.0,1.0,,0,
 Stollar Bela utca,V,55,2,604.0,,,,,,,,0,,0.0,0,,,3.0,,,,,,,
 Stollar Bela utca,V,79,2,1450.0,5.0,4.0,,2.0,1.0,6.0,,1,4.0,60.0,0,,street,6.0,0.0,,1.0,0.0,,0,
 Kalvaria ter 18.,VIII,90,2,121.0,5.0,3.0,17,,1.0,,2.0,0,4.0,45.0,1,north-east,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Korosi Csoma Sandor ut,X,64,2,483.0,,,,3.0,1.0,,1.0,0,4.0,0.0,0,,street,4.0,,,1.0,,,0,
 Vaci ut 64.,XIII,36,1,453.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Sarfu utca 3.,XV,70,3,513.0,5.0,,,6.0,1.0,10.0,,0,4.0,0.0,0,south,,4.0,,,1.0,,,,
 Retkoz utca,XI,28,1,393.0,,,,,,,,0,,60.0,0,,,4.0,,,,,,,
 Kresz Geza utca 19.,XIII,55,4,544.0,,,,,,,,0,,60.0,0,,,5.0,,,,,,,
 O utca 43.,VI,35,1,302.0,6.0,,,,1.0,8.0,,1,,0.0,0,,street,0.0,,,1.0,,not allowed,,
 Attila ut,I,57,2,604.0,,,,,,,,0,,106.0,0,,,0.0,,,,,,,
 Vorosmarty utca,VI,92,3,1057.0,5.0,,,2.0,1.0,3.0,2.0,0,4.0,0.0,0,,street,0.0,,,1.0,0.0,,0,
 Turoc utca,XIII,53,2,604.0,,,,,,,,0,,106.0,0,,,8.0,,,,,,,
 Hernad utca,VII,72,2,544.0,5.0,,,2.0,0.0,3.0,2.0,0,4.0,0.0,0,,,0.0,,,1.0,,,,
 Karoly korut 3/A,VII,51,2,604.0,5.0,3.0,17,0.5,1.0,5.0,2.0,0,4.0,76.0,1,south-east,garden,0.0,0.0,0.0,1.0,1.0,not allowed,0,
 Ulloi ut 40.,VIII,39,1,378.0,4.0,,,4.0,1.0,5.0,2.0,0,1.0,66.0,0,north-east,,0.0,,0.0,,,not allowed,,
 Benczur utca 39B,VI,83,3,785.0,,,,,,,,0,,0.0,0,,,4.0,,,,,,,
 Visegradi utca 65.,XIII,40,1,362.0,5.0,3.0,,3.0,0.0,4.0,2.0,1,4.0,57.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Kelenfoldi ut,XI,36,1,332.0,4.0,3.0,,,,,,0,1.0,91.0,0,,,0.0,,,,1.0,,,
 Bebo Karoly utca,III,36,1,387.0,5.0,3.0,,3.0,0.0,4.0,1.0,0,4.0,0.0,0,,street,2.0,,,1.0,0.0,not allowed,1,0.0
 Havanna utca,XVIII,34,1,332.0,,,15,,,,,0,,60.0,0,,,0.0,,,,,,,
 Bajcsy-Zsilinszky ut,V,33,1,302.0,5.0,3.0,,1.0,1.0,3.0,2.0,0,4.0,0.0,1,south-west,court,0.0,0.0,,1.0,0.0,not allowed,0,
 Terez korut,VI,92,3,664.0,5.0,5.0,19,4.0,1.0,5.0,1.0,0,4.0,136.0,1,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Dob utca,VII,31,1,438.0,5.0,5.0,19,2.0,1.0,4.0,2.0,1,4.0,76.0,1,,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Varso utca,XIV,49,1,378.0,4.0,3.0,,,,,,0,3.0,0.0,0,,garden,0.0,,,1.0,,not allowed,,
 Suranyi Ferenc utca 8.,XVII,86,2,604.0,4.0,3.0,,2.0,0.0,3.0,1.0,1,3.0,0.0,0,,,5.0,0.0,,,,not allowed,1,
 Lehel utca,VI,133,3,951.0,4.0,3.0,,2.0,0.0,,2.0,1,1.0,91.0,0,,street,0.0,,0.0,1.0,1.0,not allowed,0,
 Nagymezo utca 35.,VI,30,1,453.0,5.0,3.0,12,2.0,1.0,3.0,2.0,1,2.0,76.0,0,,court,0.0,,,1.0,,,,
 Kiraly utca,VI,28,1,347.0,5.0,3.0,14,0.0,0.0,2.0,1.0,0,4.0,21.0,0,south-west,garden,0.0,1.0,0.0,1.0,1.0,not allowed,0,
 Csevi utca 19.,II,60,2,740.0,5.0,5.0,,1.0,0.0,3.0,1.0,1,3.0,91.0,0,west,garden,8.0,0.0,0.0,1.0,0.0,not allowed,1,
 Muranyi utca,VII,55,2,453.0,5.0,3.0,12,0.0,1.0,5.0,2.0,0,4.0,91.0,0,north-east,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Kossuth Lajos utca,V,58,2,429.0,5.0,3.0,,1.0,1.0,5.0,2.0,1,4.0,91.0,0,south,street,4.0,,0.0,1.0,0.0,not allowed,0,
 Egressy ut 113JK,XIV,51,2,664.0,6.0,3.0,,5.0,1.0,7.0,1.0,1,3.0,0.0,1,north-east,panoramic,30.0,0.0,0.0,1.0,0.0,not allowed,0,
 Jasz utca,XIII,32,1,423.0,5.0,4.0,19,1.0,1.0,4.0,1.0,1,4.0,60.0,1,,court,2.0,0.0,,1.0,,not allowed,0,
 Vizimalom setany 12.,III,27,1,359.0,5.0,3.0,12,2.0,0.0,3.0,1.0,0,4.0,60.0,0,south,garden,0.0,0.0,0.0,1.0,0.0,not allowed,1,0.0
 Mor utca,XIII,42,1,453.0,5.0,3.0,,3.0,1.0,5.0,1.0,1,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,not allowed,1,
 Lovag utca,VI,65,2,634.0,5.0,3.0,,2.0,,3.0,2.0,1,4.0,91.0,0,,,0.0,,0.0,1.0,,not allowed,,
 Fehervari ut,XI,33,1,362.0,5.0,3.0,,0.0,1.0,10.0,1.0,1,4.0,91.0,1,,,0.0,,0.0,1.0,0.0,not allowed,1,
 Attila ut 85.,I,28,1,378.0,5.0,3.0,,4.0,1.0,4.0,2.0,1,3.0,76.0,0,south-west,panoramic,1.0,0.0,0.0,1.0,1.0,not allowed,0,
 Berkenye utca,II,54,2,559.0,4.0,3.0,,1.0,0.0,2.0,2.0,1,4.0,0.0,0,,court,0.0,,0.0,1.0,1.0,not allowed,1,
 Baross utca 135.,VIII,52,2,480.0,4.0,3.0,18,2.0,1.0,5.0,1.0,1,4.0,121.0,1,west,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Podmaniczky utca,VI,38,1,453.0,5.0,3.0,,2.0,0.0,4.0,2.0,1,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Zsalya utca 53-55,XIV,46,1,423.0,5.0,3.0,,3.0,1.0,10.0,1.0,1,4.0,106.0,1,south-west,,0.0,0.0,0.0,1.0,0.0,not allowed,1,0.0
 Gomb utca,XIII,47,1,423.0,5.0,3.0,,4.0,1.0,9.0,,1,1.0,45.0,0,south,street,3.0,,,1.0,0.0,,,
 Bartok Bela ut 64.,XI,26,1,362.0,5.0,3.0,,0.5,,4.0,,0,4.0,97.0,0,,street,0.0,0.0,,1.0,0.0,not allowed,0,
 Izabella utca 93.,VI,50,2,1057.0,6.0,5.0,,2.0,1.0,6.0,1.0,1,4.0,0.0,0,north-west,street,10.0,0.0,0.0,1.0,0.0,not allowed,0,
 Stromfeld Aurel ut 18.,XII,105,3,1510.0,5.0,5.0,,1.0,0.0,2.0,1.0,1,3.0,118.0,0,south-east,panoramic,11.0,0.0,0.0,1.0,1.0,not allowed,1,
 Nagybanyai ut,II,65,2,906.0,5.0,4.0,,0.5,0.0,4.0,1.0,0,4.0,136.0,0,south,panoramic,18.0,0.0,0.0,1.0,0.0,not allowed,1,
 Kaszalo utca 45.,XVII,47,2,816.0,6.0,5.0,19,4.0,1.0,4.0,2.0,1,2.0,0.0,0,south-east,panoramic,22.0,0.0,1.0,1.0,0.0,not allowed,0,
 Csalit utca,II,68,3,755.0,5.0,3.0,,1.0,0.0,4.0,1.0,0,,122.0,0,,garden,2.0,0.0,,1.0,0.0,not allowed,1,
 Jozsefhegyi utca 5/B,II,70,3,1359.0,5.0,3.0,18,1.0,1.0,3.0,,0,2.0,0.0,0,east,panoramic,11.0,,0.0,1.0,0.0,not allowed,1,
 Raday utca,IX,70,2,589.0,5.0,,,1.0,1.0,,1.0,0,4.0,104.0,0,,street,2.0,0.0,,1.0,0.0,not allowed,0,
 Becsi utca 5.,V,99,3,1420.0,5.0,5.0,,4.0,1.0,,2.0,1,4.0,169.0,0,west,street,1.0,0.0,0.0,1.0,0.0,not allowed,0,
 Soroksari ut 1-5.,IX,35,1,378.0,4.0,3.0,,6.0,1.0,7.0,1.0,0,1.0,0.0,0,west,garden,0.0,0.0,0.0,0.0,0.0,not allowed,0,
 Bokay Janos utca 35.,VIII,75,3,1202.0,6.0,5.0,,8.0,1.0,10.0,1.0,1,4.0,0.0,0,east,panoramic,7.0,0.0,0.0,1.0,0.0,not allowed,0,
 Patakhegyi utca 83.,II,55,2,390.0,5.0,3.0,13,2.0,0.0,4.0,1.0,0,1.0,0.0,0,south-east,panoramic,5.0,0.0,0.0,1.0,1.0,not allowed,1,
 Dorozsmai utca,XIV,79,3,1057.0,6.0,5.0,,4.0,1.0,5.0,,1,4.0,60.0,0,,panoramic,10.0,0.0,0.0,1.0,0.0,not allowed,0,
 Irinyi Jozsef utca 39.,XI,84,3,906.0,5.0,,,5.0,1.0,7.0,,1,4.0,0.0,0,south-east,panoramic,0.0,0.0,0.0,,0.0,not allowed,0,
 Thurzo utca 5.,XIII,82,2,785.0,5.0,3.0,,4.0,1.0,,,1,4.0,181.0,0,south,panoramic,4.0,,,1.0,1.0,,0,
 Nador utca,V,107,2,1057.0,4.0,3.0,,3.0,1.0,,,0,,181.0,0,south-west,street,4.0,,,1.0,,,,
 Kresz Geza utca,XIII,42,1,453.0,5.0,3.0,,2.0,1.0,5.0,,0,4.0,91.0,0,,court,4.0,0.0,0.0,1.0,0.0,not allowed,0,
 Nepszinhaz utca,VIII,46,1,302.0,3.0,3.0,,6.0,1.0,8.0,,0,3.0,121.0,0,,panoramic,4.0,,0.0,1.0,1.0,,,
 Nagy Ignac utca,V,42,1,453.0,,,,,,,,0,4.0,0.0,0,,,0.0,,,,,,,
 Horanszky utca 12.,VIII,82,3,1057.0,5.0,4.0,,0.5,1.0,5.0,2.0,0,1.0,100.0,0,west,street,0.0,0.0,0.0,1.0,1.0,not allowed,0,
 Garda utca,XI,73,3,1047.0,6.0,4.0,,4.0,1.0,7.0,1.0,1,4.0,0.0,0,south-east,garden,20.0,0.0,0.0,,0.0,not allowed,0,
 Maria utca,VIII,103,3,831.0,5.0,3.0,,4.0,1.0,5.0,1.0,1,4.0,45.0,0,west,panoramic,22.0,0.0,0.0,1.0,0.0,not allowed,0,
 Szasz Karoly utca,II,61,2,544.0,5.0,3.0,,2.0,1.0,4.0,1.0,1,4.0,60.0,0,south-east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Kazinczy utca,VII,50,2,682.0,5.0,3.0,,0.0,1.0,6.0,2.0,0,4.0,54.0,1,,garden,8.0,1.0,,1.0,,,0,
 Szeremi sor,XI,50,1,393.0,5.0,3.0,,3.0,1.0,4.0,1.0,0,2.0,0.0,0,,garden,0.0,,0.0,1.0,,,0,
 Kulso-Terezvaros  Diplomatanegyed,VI,55,2,664.0,5.0,3.0,,0.5,1.0,5.0,2.0,1,4.0,36.0,0,,court,0.0,,,1.0,0.0,not allowed,0,
 Sasad,XI,50,2,680.0,6.0,3.0,18,1.0,1.0,5.0,1.0,1,2.0,0.0,0,south-east,street,9.0,,,1.0,0.0,not allowed,0,
 Herminamezo,XIV,73,2,574.0,4.0,3.0,,1.0,0.0,,,0,3.0,54.0,0,south-west,garden,3.0,,,1.0,0.0,not allowed,0,
 Vizisport utca,XX,40,2,453.0,5.0,3.0,,2.0,1.0,4.0,1.0,1,2.0,91.0,1,west,panoramic,6.0,0.0,0.0,1.0,,,0,
 O utca,VI,70,2,483.0,,,,2.0,0.0,,,0,4.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Ujpalota,XV,61,3,453.0,5.0,3.0,,1.0,1.0,10.0,,0,1.0,0.0,0,,street,3.0,,0.0,0.0,0.0,not allowed,1,
 Szent Istvan park,XIII,49,2,393.0,5.0,3.0,,3.0,1.0,,,0,1.0,0.0,0,,street,0.0,,,,,,,
 Perczel Mor utca,V,80,3,1049.0,4.0,3.0,,1.0,1.0,5.0,2.0,0,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,,,0,
 Feher Hajo utca,V,114,3,1888.0,5.0,5.0,,3.0,1.0,,,0,4.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Nagy Lajos kiraly utja,XIV,79,3,604.0,6.0,4.0,,4.0,0.0,5.0,1.0,0,3.0,121.0,0,south-east,street,6.0,0.0,0.0,1.0,1.0,allowed,1,
 Lechner Odon fasor 2.,IX,75,2,1311.0,,,,4.0,1.0,,1.0,1,4.0,0.0,0,,panoramic,12.0,,,1.0,0.0,not allowed,,
 Biro Laszlo Jozsef korut,XI,76,3,1049.0,6.0,,,3.0,1.0,,,1,1.0,0.0,0,,,20.0,,,1.0,,,,
 Szentharomsag utca,I,80,3,2098.0,5.0,4.0,,2.0,0.0,2.0,2.0,1,4.0,91.0,0,east,street,0.0,,1.0,1.0,,,0,
 Szolo utca,III,107,4,755.0,4.0,2.0,,2.0,0.0,3.0,1.0,1,1.0,121.0,0,,street,6.0,0.0,0.0,1.0,0.0,not allowed,0,
 Viola utca 9.,IX,72,3,574.0,4.0,3.0,,4.0,1.0,5.0,1.0,1,3.0,76.0,0,south-west,street,0.0,0.0,0.0,1.0,1.0,not allowed,0,
 Vaci utca,V,98,3,1208.0,5.0,3.0,,2.0,0.0,3.0,2.0,0,3.0,151.0,0,,street,0.0,,0.0,,,,0,
 Garibaldi utca,V,76,2,1314.0,5.0,5.0,,5.0,1.0,5.0,1.0,1,4.0,0.0,0,,panoramic,0.0,,1.0,1.0,,,0,
 Kiraly utca,VII,93,3,1087.0,5.0,4.0,,2.0,0.0,3.0,2.0,1,4.0,0.0,0,,street,2.0,,0.0,1.0,,,0,
 Olimpia park,V,30,1,393.0,4.0,3.0,,0.0,1.0,5.0,1.0,0,3.0,0.0,0,,court,0.0,,0.0,1.0,,not allowed,0,
 Sas utca 14.,V,90,3,1574.0,5.0,4.0,,2.0,1.0,4.0,,0,4.0,30.0,0,,street,0.0,,,1.0,0.0,not allowed,,
 Zichy Jeno utca,VI,25,1,362.0,4.0,3.0,,0.0,0.0,3.0,2.0,0,4.0,0.0,0,,court,0.0,1.0,0.0,1.0,,not allowed,0,
 Kiraly utca 44.,VI,54,2,787.0,6.0,3.0,,4.0,1.0,4.0,1.0,1,1.0,45.0,0,south-west,street,16.0,0.0,,0.0,0.0,not allowed,0,
 Zugligeti ut,XII,75,2,1049.0,,5.0,,,,,,1,4.0,0.0,0,,panoramic,0.0,,,,1.0,,0,
 II. Janos Pal papa ter,VIII,62,2,544.0,5.0,3.0,,5.0,1.0,6.0,1.0,1,4.0,91.0,0,south-west,panoramic,8.0,,,1.0,0.0,not allowed,0,
 Rumbach Sebestyen utca,VII,75,2,513.0,4.0,3.0,,3.0,1.0,,,0,3.0,0.0,0,,,0.0,0.0,0.0,1.0,,,0,
 Villanyi ut,XI,45,2,483.0,5.0,3.0,,0.5,0.0,,,0,,0.0,0,,street,0.0,,,1.0,,,,
 Orbanhegy,XII,110,3,1510.0,5.0,4.0,,1.0,0.0,,,1,2.0,0.0,0,,street,0.0,,0.0,1.0,1.0,not allowed,1,
 Nador utca,V,60,3,1259.0,5.0,,,2.0,1.0,,,0,4.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Jozsefvaros  Corvinnegyed,VIII,40,1,362.0,4.0,3.0,,3.0,0.0,,1.0,0,3.0,0.0,0,south-east,street,1.0,,,1.0,0.0,not allowed,1,
 Hajos utca,VI,27,1,393.0,5.0,3.0,,2.0,1.0,4.0,,0,4.0,0.0,0,,street,0.0,0.0,0.0,,,,0,
 Vizafogo  Marinapart,XIII,45,2,601.0,,,,,,,,0,,0.0,0,,,7.0,,,,,,,
 Gazdagreti lakotelep,XI,55,1,453.0,5.0,3.0,,6.0,1.0,,1.0,0,1.0,0.0,0,,,0.0,,,,,,,
 Bathory utca 8.,V,83,3,892.0,5.0,4.0,,2.0,1.0,4.0,2.0,0,4.0,45.0,0,south,street,3.0,,,1.0,1.0,not allowed,0,
 Kerepesi ut,XIV,28,1,332.0,5.0,3.0,,4.0,1.0,5.0,1.0,1,1.0,45.0,0,east,panoramic,1.0,0.0,0.0,0.0,0.0,not allowed,0,
 Belso-Ferencvaros,IX,53,1,483.0,,3.0,,1.0,1.0,6.0,1.0,0,4.0,0.0,0,,street,3.0,0.0,0.0,1.0,0.0,not allowed,,
 Terez korut,VI,120,2,997.0,5.0,3.0,,3.0,1.0,,2.0,0,4.0,0.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,1,
 Csorna utca,XII,60,2,906.0,5.0,3.0,,4.0,1.0,4.0,1.0,0,4.0,0.0,0,south-east,panoramic,20.0,,0.0,1.0,0.0,not allowed,0,
 Solt utca,XI,110,5,1057.0,4.0,4.0,,0.0,,3.0,1.0,0,2.0,0.0,0,,garden,0.0,1.0,,1.0,1.0,,0,
 Klauzal ter,VII,127,4,1993.0,5.0,5.0,,2.0,0.0,,2.0,1,4.0,0.0,0,,street,0.0,0.0,,1.0,,,0,
 Belso-Terezvaros,VI,130,3,2938.0,5.0,4.0,,1.0,,,,1,4.0,0.0,0,,street,0.0,,,1.0,,,,
 Hold utca,V,55,1,892.0,4.0,3.0,,3.0,1.0,5.0,2.0,0,1.0,0.0,0,east,street,4.0,,,,,,,
 Vorosmarty utca,VI,56,2,891.0,6.0,3.0,,3.0,1.0,8.0,1.0,1,2.0,115.0,0,,garden,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Marko utca,V,57,1,846.0,5.0,3.0,,6.0,1.0,6.0,1.0,1,4.0,76.0,1,,panoramic,6.0,0.0,0.0,1.0,0.0,not allowed,0,
 Fazekas utca,II,48,2,529.0,5.0,3.0,,7.0,1.0,7.0,1.0,1,,91.0,0,west,panoramic,8.0,,,1.0,0.0,not allowed,0,
 Hadak utja,XI,40,1,393.0,3.0,3.0,10,1.0,0.0,3.0,1.0,0,2.0,45.0,0,south-east,street,0.0,,,0.0,1.0,allowed,,
 Hegedus Gyula utca,XIII,70,3,755.0,5.0,4.0,,2.0,1.0,8.0,1.0,0,4.0,0.0,0,south-east,street,0.0,,0.0,1.0,1.0,not allowed,0,
 Zrinyi utca,V,78,2,1359.0,,4.0,,2.0,1.0,,,1,4.0,0.0,0,,panoramic,7.0,,,,,,,
 Garay ter,VII,40,1,388.0,4.0,3.0,,3.0,,,2.0,0,4.0,36.0,0,,court,0.0,,0.0,1.0,0.0,not allowed,,
 Jozsefvaros  Magdolnanegyed,VIII,40,2,544.0,5.0,3.0,,5.0,1.0,8.0,1.0,0,2.0,69.0,0,south-east,street,5.0,,,,,not allowed,0,
 Mezokovesd ut,XI,53,1,604.0,5.0,3.0,,3.0,1.0,4.0,1.0,1,4.0,57.0,0,,garden,3.0,0.0,0.0,1.0,0.0,not allowed,0,
 Szerena ut,II,33,1,378.0,4.0,3.0,,1.0,0.0,3.0,1.0,0,4.0,0.0,0,south-west,garden,5.0,0.0,0.0,1.0,0.0,,1,
 Karacsony Sandor utca,VIII,56,1,680.0,5.0,3.0,,2.0,,4.0,,0,4.0,0.0,0,,street,4.0,,0.0,1.0,,,0,
 Sas utca 1.,V,58,3,1154.0,5.0,3.0,,5.0,1.0,5.0,1.0,1,2.0,36.0,1,south,panoramic,18.0,,0.0,1.0,,,,
 Bastya utca,V,72,2,734.0,5.0,3.0,,1.0,1.0,,2.0,0,4.0,91.0,0,south-east,court,0.0,0.0,0.0,1.0,,not allowed,0,
 Belvaros,V,23,1,453.0,,3.0,,3.0,0.0,4.0,2.0,0,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,not allowed,,
 Ujpest,IV,72,2,453.0,,3.0,,0.5,0.0,,,0,4.0,0.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,,
 Nagyzuglo,XIV,42,1,453.0,,3.0,,0.0,0.0,4.0,1.0,1,4.0,0.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,,
 Kozepso-Erzsebetvaros,VII,48,2,664.0,,3.0,,4.0,1.0,5.0,2.0,1,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,not allowed,,
 Margo Tivadar utca,XVIII,35,1,302.0,4.0,3.0,,3.0,0.0,4.0,1.0,0,3.0,0.0,0,,street,0.0,0.0,0.0,,0.0,not allowed,1,
 Veres Palne utca,V,77,3,1469.0,5.0,,,4.0,1.0,4.0,,1,2.0,151.0,0,,panoramic,10.0,0.0,,1.0,1.0,,0,
 Ujpest-Kertvaros,IV,72,2,453.0,4.0,3.0,,0.5,,,,0,4.0,0.0,0,,street,4.0,,,,,,0,
 Andrassy ut,VI,110,2,2098.0,5.0,4.0,,3.0,0.0,4.0,2.0,1,4.0,91.0,1,,panoramic,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Bakats ter,IX,52,2,544.0,5.0,3.0,,3.0,1.0,,,0,4.0,0.0,0,,court,0.0,,,1.0,,,,
 Raday utca,IX,55,2,577.0,5.0,3.0,,2.0,1.0,3.0,2.0,1,4.0,76.0,0,,court,0.0,,0.0,1.0,1.0,not allowed,0,
 Bem rakpart,II,111,3,982.0,4.0,3.0,,3.0,1.0,6.0,2.0,1,1.0,0.0,0,east,panoramic,11.0,0.0,0.0,1.0,0.0,not allowed,0,
 Matyashegy,III,120,4,2728.0,4.0,4.0,,0.0,,,,0,4.0,0.0,0,,panoramic,0.0,,,1.0,,not allowed,0,
 Lipotvaros,V,120,4,2518.0,5.0,5.0,,4.0,1.0,5.0,2.0,1,4.0,0.0,0,,street,0.0,,,1.0,0.0,not allowed,0,
 Nagymezo utca,VI,19,1,332.0,5.0,3.0,,2.0,1.0,,,0,4.0,0.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,,
 Erzsebet korut,VII,51,2,604.0,5.0,3.0,,2.0,1.0,,2.0,0,4.0,0.0,0,,court,0.0,,0.0,1.0,1.0,,,
 Baross utca,VIII,50,1,453.0,5.0,3.0,,1.0,1.0,,1.0,0,1.0,0.0,0,,street,0.0,0.0,,,1.0,not allowed,0,
 Laborfalvi Roza utca,IV,35,1,393.0,5.0,3.0,,9.0,1.0,10.0,1.0,1,4.0,45.0,0,south-east,panoramic,0.0,0.0,0.0,1.0,0.0,not allowed,1,
 Lejto ut,XII,125,3,1469.0,5.0,4.0,,1.0,0.0,3.0,2.0,1,1.0,0.0,0,,street,8.0,,0.0,1.0,0.0,not allowed,0,
 Corvin setany 6.,VIII,69,3,906.0,6.0,2.0,,5.0,1.0,7.0,1.0,0,4.0,0.0,0,,street,34.0,,0.0,1.0,,,0,
 Bathory utca,V,136,3,1888.0,,,,2.0,,,,0,4.0,136.0,0,,,0.0,,,1.0,,,,
 Falk Miksa utca 16.,V,103,4,1259.0,5.0,4.0,,3.0,1.0,5.0,2.0,1,4.0,0.0,0,,street,2.0,0.0,0.0,1.0,0.0,,0,
 Palota ut,I,93,3,2869.0,5.0,4.0,,1.0,,,,1,4.0,0.0,0,,panoramic,0.0,,0.0,1.0,0.0,not allowed,1,
 Magyar utca,V,60,2,944.0,5.0,5.0,,3.0,0.0,4.0,1.0,1,3.0,121.0,0,west,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Karacsony Sandor utca,VIII,30,1,378.0,5.0,3.0,,0.0,,,,0,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,,,
 Kofarago utca,VIII,72,1,695.0,5.0,3.0,,0.5,0.0,3.0,2.0,0,4.0,0.0,0,,court,8.0,,,1.0,1.0,not allowed,,
