STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Baross utca,VIII,65,3,544.0,5.0,3.0,,9.0,1.0,10.0,1.0,0,4.0,0.0,0,,street,5.0,,,1.0,,,,1.0
 Vas utca,VIII,36,1,332.0,3.0,3.0,12,1.0,1.0,5.0,2.0,0,1.0,39.0,0,south-east,court,0.0,0.0,0.0,0.0,1.0,not allowed,0,
 Attila ut,I,50,1,589.0,4.0,3.0,,3.0,1.0,5.0,,0,1.0,0.0,0,south,,9.0,,0.0,1.0,0.0,not allowed,0,
 Kinizsi utca,IX,70,4,969.0,5.0,,,1.0,0.0,,,0,4.0,0.0,0,,court,0.0,,,1.0,0.0,,0,
 Fehervari ut,XI,52,2,302.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Galamb utca,V,35,1,450.0,5.0,,,5.0,1.0,7.0,,0,4.0,69.0,0,,panoramic,0.0,,0.0,1.0,0.0,not allowed,0,
 Jozsef korut,VIII,50,2,483.0,4.0,3.0,,2.0,1.0,4.0,2.0,0,3.0,60.0,0,,court,0.0,,,1.0,,,,
 Csepel-Ofalu,XXI,46,2,393.0,5.0,,,1.0,1.0,,1.0,0,,0.0,0,west,street,0.0,,0.0,,,,,
 Kerepesi ut,VIII,52,1,423.0,5.0,3.0,,3.0,0.0,3.0,1.0,0,4.0,60.0,0,,garden,8.0,,,1.0,,,1,
 Arpad ut,IV,39,1,393.0,5.0,3.0,,1.0,1.0,,1.0,0,3.0,0.0,0,south,court,0.0,,,,0.0,not allowed,,
 Kassai utca,XIV,37,1,302.0,4.0,3.0,,0.0,0.0,4.0,1.0,0,1.0,0.0,0,north-west,garden,0.0,,0.0,,0.0,not allowed,1,
 Garda utca,XI,60,2,604.0,6.0,5.0,,7.0,1.0,,1.0,0,4.0,0.0,0,,garden,6.0,,,1.0,,,0,
 Kenyeres utca,III,52,1,393.0,4.0,,,1.0,0.0,3.0,2.0,0,1.0,42.0,0,,garden,4.0,,0.0,1.0,0.0,not allowed,1,
 Belso-Erzsebetvaros,VII,72,3,755.0,5.0,,,3.0,,,2.0,0,,0.0,0,south-west,street,0.0,,0.0,,,,,
 Kresz Geza utca,XIII,59,2,513.0,4.0,3.0,,2.0,1.0,5.0,2.0,0,4.0,76.0,0,,court,0.0,,,1.0,,,,
 Cinkotai ut,XIV,60,2,468.0,,,,,,,,0,,0.0,0,,,22.0,,,,,,,
 Mester utca,IX,43,1,423.0,4.0,3.0,,2.0,,5.0,,0,,0.0,0,,,0.0,,0.0,,,,,
 Roppentyu utca,XIII,44,2,483.0,5.0,3.0,,6.0,1.0,7.0,1.0,0,4.0,0.0,1,east,,3.0,,0.0,1.0,0.0,not allowed,0,
 Zrinyi utca,V,54,2,483.0,4.0,3.0,,2.0,1.0,5.0,,0,4.0,91.0,0,south,street,0.0,1.0,0.0,1.0,1.0,not allowed,0,
 Mester utca,IX,41,1,408.0,5.0,3.0,,2.0,1.0,6.0,,1,2.0,30.0,0,,,0.0,,0.0,1.0,0.0,not allowed,0,
 Filler utca,II,55,2,423.0,,,,,,,,0,,106.0,0,,,5.0,,,,,,,
 Deri Miksa utca,VIII,43,1,513.0,5.0,3.0,,2.0,1.0,,,1,4.0,0.0,0,,street,4.0,,,1.0,0.0,not allowed,,
 Erdosor utca,XXI,63,2,423.0,4.0,3.0,,2.0,0.0,4.0,1.0,0,1.0,121.0,0,,,6.0,,,,0.0,not allowed,1,
 Vaskapu utca,IX,15,2,211.0,6.0,,,,1.0,,,0,4.0,60.0,0,,garden,6.0,,,1.0,0.0,not allowed,,
 Napkelte utca,XI,36,1,483.0,6.0,3.0,19,1.0,1.0,8.0,1.0,1,4.0,91.0,1,,garden,4.0,0.0,0.0,1.0,0.0,,0,
 Mester utca,IX,45,1,453.0,4.0,3.0,,2.0,,,,1,4.0,76.0,0,,,0.0,0.0,0.0,1.0,,,,
 Dohany utca 30.,VII,80,3,287.0,5.0,3.0,18,0.5,1.0,4.0,2.0,0,4.0,76.0,0,,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Haller utca,IX,55,2,612.0,5.0,3.0,,5.0,1.0,6.0,1.0,1,4.0,91.0,1,east,garden,12.0,0.0,0.0,1.0,0.0,not allowed,0,
 Fo utca,XIX,54,1,498.0,5.0,3.0,,1.0,1.0,10.0,,0,,0.0,0,,panoramic,0.0,,,1.0,1.0,not allowed,1,
 Hermina ut,XIV,82,3,846.0,5.0,,,2.0,1.0,,1.0,0,,0.0,0,south-west,street,5.0,,0.0,,,,,
 Hermina ut,XIV,70,3,755.0,5.0,,,3.0,1.0,,1.0,0,,0.0,0,south,,14.0,,0.0,,,,,
 Karpat utca,XIII,49,2,453.0,4.0,3.0,,1.0,0.0,3.0,1.0,0,4.0,51.0,0,,garden,0.0,0.0,0.0,1.0,0.0,,0,
 Vorosmarty utca,VI,75,2,453.0,4.0,3.0,,3.0,0.0,3.0,1.0,0,4.0,91.0,0,,street,0.0,0.0,0.0,1.0,1.0,not allowed,0,
 Nemetvolgy,XII,35,1,362.0,4.0,3.0,,0.0,0.0,2.0,1.0,0,4.0,30.0,0,south-west,garden,6.0,1.0,0.0,1.0,1.0,not allowed,1,
 Kulso-Terezvaros,VI,60,2,544.0,4.0,3.0,,2.0,1.0,3.0,,0,3.0,0.0,0,,street,0.0,,,1.0,0.0,not allowed,,
 Kalaszi koz,III,67,2,816.0,6.0,,,0.0,0.0,,,1,4.0,0.0,0,,garden,0.0,,,1.0,0.0,,0,
 Gyarmat utca,XIV,107,3,664.0,5.0,3.0,,1.0,0.0,,,1,1.0,0.0,0,,garden,0.0,,,0.0,1.0,,1,
 Sip utca 17.,VII,70,2,604.0,5.0,,,1.0,,,,0,4.0,0.0,0,,street,0.0,,,1.0,,,,
 Angyalfold  Loportardulo,XIII,57,1,574.0,5.0,,,5.0,1.0,,,0,4.0,0.0,0,,,1.0,,,1.0,0.0,,0,
 Pazmany Peter utca 140.,XV,57,2,559.0,6.0,3.0,,0.0,0.0,2.0,1.0,0,4.0,45.0,1,west,street,0.0,1.0,0.0,1.0,1.0,allowed,1,
 Kassa utca,XIX,90,3,664.0,,,,,,,,0,,30.0,0,,,0.0,,,,,,,
 Furedi utca,XIV,49,2,423.0,4.0,,,7.0,1.0,10.0,,0,3.0,91.0,0,,,2.0,,0.0,,,not allowed,0,1.0
 Harsfa utca,VII,45,1,393.0,5.0,3.0,,1.0,,4.0,,0,4.0,0.0,0,,,0.0,,,1.0,0.0,not allowed,,
 Mezolak utca,XXIII,70,1,393.0,,,,,,,,0,,0.0,0,,,5.0,,,,,,,
 Bercsenyi utca,XI,36,1,604.0,6.0,3.0,,4.0,1.0,6.0,,1,3.0,60.0,0,,street,6.0,0.0,,1.0,0.0,,,
 Gyulai Pal utca 12.,VIII,59,2,498.0,4.0,3.0,,2.0,1.0,4.0,2.0,0,3.0,41.0,0,west,street,0.0,0.0,0.0,1.0,,not allowed,0,
 Torokor,XIV,40,2,483.0,6.0,,,2.0,1.0,,,1,4.0,121.0,0,,,4.0,,,1.0,1.0,,0,
 Mester utca,IX,42,1,393.0,5.0,,,2.0,1.0,6.0,,1,2.0,0.0,0,,,0.0,,0.0,,0.0,not allowed,0,
 Orszagut,II,61,2,598.0,,,,5.0,1.0,,,1,4.0,0.0,0,,,0.0,,,1.0,0.0,,,
 Rakoskeresztur,XVII,41,1,483.0,,3.0,18,2.0,1.0,3.0,1.0,1,3.0,0.0,0,,street,6.0,,0.0,1.0,,,,
 Somogyi Bela utca,VIII,87,2,483.0,4.0,2.0,,1.0,0.0,,2.0,0,1.0,0.0,0,west,street,0.0,,0.0,1.0,1.0,,0,
 Szonyi ut,XIV,31,1,347.0,5.0,2.0,,0.0,,,1.0,0,4.0,32.0,0,,court,0.0,1.0,,1.0,0.0,not allowed,,
